Point Id,Northing,Easting,Elevation,Code,Code Description,,,,
2485,6008025.362,639733.629,646.805,BED,BED,,,,
2486,6008024.775,639733.605,646.732,BED,BED,,,,
2487,6008024.157,639733.588,646.93,BED,BED,,,,
2488,6008023.286,639733.875,647.366,BOB,BOTTOM OF BANK,,,,
2489,6008019.909,639733.882,649.735,TOB,TOP OF BANK,,,,
2490,6008017.803,639733.054,649.916,GS,GROUND SHOT,,,,
2491,6008018.277,639764.002,649.1,TOB,TOP OF BANK,,,,
2492,6008016.156,639764.61,647.648,BOB,BOTTOM OF BANK,,,,
2493,6008015.622,639764.895,647.393,WL,WATERLEVEL,,,,
2494,6008015.331,639765.179,647.101,BED,BED,,,,
2495,6008014.856,639765.588,646.832,BED,BED,,,,
